"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Low Income, Low Access","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","lilatracts_all","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025000100","MA","25025000100","=""25025000100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000201","MA","25025000201","=""25025000201""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000202","MA","25025000202","=""25025000202""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000301","MA","25025000301","=""25025000301""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000302","MA","25025000302","=""25025000302""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000401","MA","25025000401","=""25025000401""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000402","MA","25025000402","=""25025000402""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000502","MA","25025000502","=""25025000502""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000503","MA","25025000503","=""25025000503""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000504","MA","25025000504","=""25025000504""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000601","MA","25025000601","=""25025000601""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000602","MA","25025000602","=""25025000602""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000701","MA","25025000701","=""25025000701""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000703","MA","25025000703","=""25025000703""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000704","MA","25025000704","=""25025000704""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000802","MA","25025000802","=""25025000802""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000803","MA","25025000803","=""25025000803""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010103","MA","25025010103","=""25025010103""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010104","MA","25025010104","=""25025010104""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010203","MA","25025010203","=""25025010203""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010204","MA","25025010204","=""25025010204""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010300","MA","25025010300","=""25025010300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010403","MA","25025010403","=""25025010403""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010404","MA","25025010404","=""25025010404""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010405","MA","25025010405","=""25025010405""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010408","MA","25025010408","=""25025010408""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010500","MA","25025010500","=""25025010500""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010600","MA","25025010600","=""25025010600""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010701","MA","25025010701","=""25025010701""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010702","MA","25025010702","=""25025010702""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010801","MA","25025010801","=""25025010801""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010802","MA","25025010802","=""25025010802""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025020101","MA","25025020101","=""25025020101""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025020200","MA","25025020200","=""25025020200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025020301","MA","25025020301","=""25025020301""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025020302","MA","25025020302","=""25025020302""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025020303","MA","25025020303","=""25025020303""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025030100","MA","25025030100","=""25025030100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025030200","MA","25025030200","=""25025030200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025030300","MA","25025030300","=""25025030300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025030400","MA","25025030400","=""25025030400""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025030500","MA","25025030500","=""25025030500""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025040100","MA","25025040100","=""25025040100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025040200","MA","25025040200","=""25025040200""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025040300","MA","25025040300","=""25025040300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025040401","MA","25025040401","=""25025040401""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025040600","MA","25025040600","=""25025040600""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025040801","MA","25025040801","=""25025040801""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025050101","MA","25025050101","=""25025050101""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025050200","MA","25025050200","=""25025050200""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025050300","MA","25025050300","=""25025050300""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025050400","MA","25025050400","=""25025050400""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025050500","MA","25025050500","=""25025050500""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025050600","MA","25025050600","=""25025050600""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025050700","MA","25025050700","=""25025050700""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025050901","MA","25025050901","=""25025050901""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025051000","MA","25025051000","=""25025051000""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025051101","MA","25025051101","=""25025051101""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025051200","MA","25025051200","=""25025051200""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025060101","MA","25025060101","=""25025060101""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025060200","MA","25025060200","=""25025060200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025060301","MA","25025060301","=""25025060301""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025060400","MA","25025060400","=""25025060400""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025060501","MA","25025060501","=""25025060501""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025060600","MA","25025060600","=""25025060600""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025060700","MA","25025060700","=""25025060700""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025060800","MA","25025060800","=""25025060800""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025061000","MA","25025061000","=""25025061000""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025061101","MA","25025061101","=""25025061101""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025061200","MA","25025061200","=""25025061200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025070101","MA","25025070101","=""25025070101""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025070200","MA","25025070200","=""25025070200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025070300","MA","25025070300","=""25025070300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025070402","MA","25025070402","=""25025070402""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025070500","MA","25025070500","=""25025070500""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025070600","MA","25025070600","=""25025070600""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025070700","MA","25025070700","=""25025070700""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025070800","MA","25025070800","=""25025070800""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025070900","MA","25025070900","=""25025070900""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025071101","MA","25025071101","=""25025071101""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025071201","MA","25025071201","=""25025071201""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025080100","MA","25025080100","=""25025080100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025080300","MA","25025080300","=""25025080300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025080401","MA","25025080401","=""25025080401""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025080500","MA","25025080500","=""25025080500""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025080601","MA","25025080601","=""25025080601""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025080801","MA","25025080801","=""25025080801""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025080900","MA","25025080900","=""25025080900""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025081001","MA","25025081001","=""25025081001""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025081100","MA","25025081100","=""25025081100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025081200","MA","25025081200","=""25025081200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025081300","MA","25025081300","=""25025081300""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025081400","MA","25025081400","=""25025081400""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025081500","MA","25025081500","=""25025081500""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025081700","MA","25025081700","=""25025081700""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025081800","MA","25025081800","=""25025081800""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025081900","MA","25025081900","=""25025081900""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025082000","MA","25025082000","=""25025082000""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025082100","MA","25025082100","=""25025082100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025090100","MA","25025090100","=""25025090100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025090200","MA","25025090200","=""25025090200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025090300","MA","25025090300","=""25025090300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025090400","MA","25025090400","=""25025090400""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025090600","MA","25025090600","=""25025090600""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025090700","MA","25025090700","=""25025090700""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025090901","MA","25025090901","=""25025090901""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091001","MA","25025091001","=""25025091001""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091100","MA","25025091100","=""25025091100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091200","MA","25025091200","=""25025091200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091300","MA","25025091300","=""25025091300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091400","MA","25025091400","=""25025091400""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091500","MA","25025091500","=""25025091500""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091600","MA","25025091600","=""25025091600""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091700","MA","25025091700","=""25025091700""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091800","MA","25025091800","=""25025091800""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025091900","MA","25025091900","=""25025091900""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025092000","MA","25025092000","=""25025092000""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025092101","MA","25025092101","=""25025092101""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025092200","MA","25025092200","=""25025092200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025092300","MA","25025092300","=""25025092300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025092400","MA","25025092400","=""25025092400""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100100","MA","25025100100","=""25025100100""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100200","MA","25025100200","=""25025100200""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100300","MA","25025100300","=""25025100300""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100400","MA","25025100400","=""25025100400""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100500","MA","25025100500","=""25025100500""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100601","MA","25025100601","=""25025100601""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100603","MA","25025100603","=""25025100603""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100700","MA","25025100700","=""25025100700""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100800","MA","25025100800","=""25025100800""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025100900","MA","25025100900","=""25025100900""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025101001","MA","25025101001","=""25025101001""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025101002","MA","25025101002","=""25025101002""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025101101","MA","25025101101","=""25025101101""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025101102","MA","25025101102","=""25025101102""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025110103","MA","25025110103","=""25025110103""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025110201","MA","25025110201","=""25025110201""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025110301","MA","25025110301","=""25025110301""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025110401","MA","25025110401","=""25025110401""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025110403","MA","25025110403","=""25025110403""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025110501","MA","25025110501","=""25025110501""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025110502","MA","25025110502","=""25025110502""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025110601","MA","25025110601","=""25025110601""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025110607","MA","25025110607","=""25025110607""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025120103","MA","25025120103","=""25025120103""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025120104","MA","25025120104","=""25025120104""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025120105","MA","25025120105","=""25025120105""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025120201","MA","25025120201","=""25025120201""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025120301","MA","25025120301","=""25025120301""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025120400","MA","25025120400","=""25025120400""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025120500","MA","25025120500","=""25025120500""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025120600","MA","25025120600","=""25025120600""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025120700","MA","25025120700","=""25025120700""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025130100","MA","25025130100","=""25025130100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025130200","MA","25025130200","=""25025130200""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025130300","MA","25025130300","=""25025130300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025130402","MA","25025130402","=""25025130402""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025130404","MA","25025130404","=""25025130404""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025130406","MA","25025130406","=""25025130406""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025140102","MA","25025140102","=""25025140102""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025140105","MA","25025140105","=""25025140105""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025140106","MA","25025140106","=""25025140106""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025140107","MA","25025140107","=""25025140107""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025140201","MA","25025140201","=""25025140201""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025140202","MA","25025140202","=""25025140202""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025140300","MA","25025140300","=""25025140300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025140400","MA","25025140400","=""25025140400""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025980101","MA","25025980101","=""25025980101""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025980300","MA","25025980300","=""25025980300""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025980700","MA","25025980700","=""25025980700""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025981000","MA","25025981000","=""25025981000""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025981100","MA","25025981100","=""25025981100""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025981201","MA","25025981201","=""25025981201""","N/A","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025981202","MA","25025981202","=""25025981202""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025981300","MA","25025981300","=""25025981300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025981501","MA","25025981501","=""25025981501""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025981600","MA","25025981600","=""25025981600""","N/A","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025981700","MA","25025981700","=""25025981700""","N/A","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025981800","MA","25025981800","=""25025981800""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025990101","MA","25025990101","=""25025990101""","N/A","2019","2010","USDA","Boston (City, 2020)"
